pub_date,headline,article
9th December 2016,"Fake policemen kidnap Lagos businessman, demand N50m ransom","Afeez Hanafi
Kidnappers, who disguised as policemen, have left the family of a Lagos-based businessman, Mr. Basil Agha, in misery after they abducted him.
It was learnt that Basil, who is a fuel supplier, was kidnapped in his country house in Umuofor village in the Orlu Local Government Area of Imo State.
He was said to have travelled home to renovate the house ahead of the Yuletide when his family members in Lagos would come home for the celebration.
 
PUNCH Metro learnt that the 69-year-old was seeing off an electrician when the attackers stormed the compound and abducted him.
His son, Ikenna Agha, told our correspondent that the kidnappers later contacted the family members and demanded N50m ransom, adding that they eventually paid them a total sum of N2.6m when efforts by the police to rescue him proved abortive.
Ikenna said, “He was kidnapped on Friday, October 28, inside his compound around 1pm. The kidnappers told him that they were from the State Criminal Investigation and Intelligence Department and ordered him to follow them into a waiting vehicle.      
“I told my brother who broke the news to me on the phone that we didn’t have any issue with anybody. On Sunday, they called me and demanded N50m ransom. My relatives reported at the Orlu Police Station and I also submitted a petition at the Federal SARS in Adeniji Adele.
“Five policemen from the Federal SARS followed me to Orlu. But for the six days that we spent in Owerri, the kidnappers did not call me again. On November 9, we came back to Lagos and they called again. I negotiated with them and we agreed on N2.5m. They asked me to drop the money somewhere in Onitsha and promised to release him the following day.
“After dropping the money, we waited throughout the day, but he was not released. Two days after, they asked for another N2m. We negotiated and they reduced it to N500,000. I said I could only afford N100,000 and they agreed. They called me with my father’s number. On November 14, I told my brother in Owerri to take the money to where we dropped the N2.5m.
“Since they collected the N100,000, I have not received any call from them. I have gone back to the Federal SARS. They said they were communicating with the DPO, Orlu division.”
Ikenna called on the Inspector-General of Police, Ibrahim Idris, and other security agents to come to the family’s aid and rescue the businessman.  Related News   Three arrested for killing Philippine governor  Zamfara boy kidnaps mother, collects N30m ransom  Police nab suspected criminal tricycle operator   
“I am totally confused now and so is every member of the family.  I don’t know whether my father is dead or alive. We want the IG to intervene. Anybody with useful information should help us,” he added.
A resident, who witnessed the incident, Thomas Idochi, said he was surprised that what appeared like an arrest to him turned out to be a kidnap.        
He said, “I am an electrician. I came to help him fix the wiring of the house on that day. When I was done, he saw me off. As we were about to reach the gate, three men armed with guns stormed the compound. They were in mufti. They identified themselves as policemen from the SCIID and asked him (Basil) to follow them.
“He asked them what his offence was. But they insisted he would know when he got to their station. They dragged him into the car.”
A police source at the Federal SARS told PUNCH Metro that some arrests had been made by the police in Imo State with respect to the matter.
“We don’t want the complainant (Ikenna) to spend unnecessarily. We are making progress on the matter and some persons have been arrested. We have been liaising with the police in Imo to see how we can succeed,” the source added.
The Imo State Police Public Relations Officer, DSP Andrew Enwerem, said the police had yet to get any clue about the victim’s whereabouts.
He said, “We will continue to investigate to unravel those people behind the kidnap. If arrest has been made, investigation has to follow. No information yet as to where the man is. As soon as we get his location, we will go there and rescue him.”
Copyright PUNCH.                
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.       
Contact: [email protected]"
7th December 2016,"Gunmen kidnap three Lagos residents, sack community","Afeez Hanafi
Residents of Ever Winning Avenue, in the Isheri Osun area of Lagos State, have fled the area after two landlords and a woman were kidnapped by gunmen.
It was gathered that no fewer than 500 residents had relocated from the area. Residents seen by our correspondent on Tuesday in the area claimed that only 15 persons were left in the community.
PUNCH Metro learnt that the dwellers started fleeing on Friday when the gunmen, numbering about eight, invaded the neighbourhood and abducted a woman, identified simply as Iya Mitchell.
 
A resident said as the community grappled with how to raise the N6m ransom reportedly demanded to free the woman, the kidnappers stormed the community again on Monday and seized two landlords.
The names of the landlords were given as one Okon, a retired customs officer, and one Felix, who deals in electrical materials.
Only a few residents were in sight while commercial activities had been stalled when our correspondent visited the area on Tuesday.      
A community leader, who spoke to PUNCH Metro on condition of anonymity, said the gunmen sneaked in through a bush path that linked the area with FESTAC Town.
He said, “Some of us were relaxing outside around 7pm on Friday when we heard gunshots. We fled in different directions.
“After they had abducted Iya Mitchell, they went to another building, but the residents had fled. The entrance door of the building was riddled with bullets. We reported the matter at the Isheri Police Division and policemen came, but they left after some minutes.
“The following day, they called the woman’s husband for a ransom. I learnt they asked for N6m, but they are still negotiating. On Monday, around 7.30pm, they came again and took Mr. Okon and Felix. The gunmen were many.
“We are over 500 that live here. You can see how many of us are left. As soon as my children return from school today, we are leaving too.”  Related News   Former minister Graham-Douglas dies at 82  Rainstorm uproots trees, destroys cars in Lagos  Nigeria's Statistician-General dies eight months after appointment   
A resident, who gave his name as Isiaka Rufai, said there was the need for military presence in the community to restore peace and avert a recurrence. He urged the government to take urgent actions to ensure the release of the victims.
“We are no longer safe here and that was why a lot of people packed out. Until Friday when the first kidnap happened, this community used to be lively. The police alone cannot secure this place. We also need military men to be here always. That is the only way we can be assured of our safety,” he said.        
A woman, who declined to give her name, said she had relocated to Ijegun with her children, adding that she only came back to pick some household items.
She said, “I didn’t sleep here yesterday (Monday) after the two landlords were kidnapped. I cannot continue to live here, believing that my family is safe.  If any of us is kidnapped, how do we get money to pay a ransom? My husband said he would wait behind, but I have warned him.”
Another resident, Tobi Adejare, told PUNCH Metro that the area became porous two years ago.
“The bush path is being used to link FESTAC Town; the security of our community has been breached,” he added.
The Lagos State Police Public Relations Officer, SP Dolapo Badmos, said the police would ensure that the victims were rescued safely.
She said, “Three people were abducted. The case is under investigation and efforts are on to rescue them and arrest the perpetrators.”
 Copyright PUNCH.                
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.       
Contact: [email protected]"
3rd December 2016,Female journalist kidnapped in Benue,"John Charles, Makurdi
Gunmen on Thursday in Makurdi, Benue State, kidnapped the wife of the Zonal Manager of First City Monument Bank, Mr. Achia Tor-Agbidye.
It was gathered that the victim, Iyuadoo, a senior reporter with Radio Benue, was abducted at their residence located at New GRA along Abu King Shuluwa Road, Makurdi, the capital.
According to a source, the heavily-armed kidnappers numbering four, stormed the family’s home, seized their victim after collecting all her phones and other personal items before driving away in her Sports Utility Vehicle.
 
Tor-Agbidye was said to have travelled out of the state for official engagement at the time of the incident.
Confirming the development, Commissioner of Police, Benue State Command, Mr. Bashir Makama, said the command had received the report and would soon bring the perpetrators to book.
He said, “From the preliminary investigation and my visit to the residence of the victim, it clearly shows that it was an insider arrangement for the woman to be kidnapped.      
“However, we have launched immediate investigations into the matter and I can assure the family of the victim that in no time, those behind her abduction will be apprehended.”
.Copyright PUNCH.                
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH. 
Contact: [email protected]"
2nd December 2016,Radio journalist kidnapped in Benue,"The Benue Police Command said a Radio Journalist, Mrs Iyuadoo Tor-Agbidye, had been kidnapped on Friday in her house in Makurdi."
28th November 2016,Gunmen kidnap three UN workers in Sudan,"Armed men have abducted three UN refugee agency workers, including two foreigners, from Sudan’s strife-torn Darfur region, a local government official told AFP on Monday.
Two Nepalese and a Sudanese national working for UNHCR were abducted Sunday in Geneina, the capital of West Darfur state.
“A group of armed men kidnapped yesterday three UNHCR workers, two Nepalese and a Sudanese, from Geneina,” Abdelah Mustafa, spokesman for the state government of West Darfur told AFP.
“Police are searching for the kidnappers.”
 
UNHCR officials were not immediately available for comment, but its spokesman in Khartoum told AFP by text message that a meeting was underway to discuss the “urgent incident”.  Related News   Post-harvest losses, weak policies stall Nigeria’s agriculture, says UN  IWD: Why gender equality must be prioritised, pursued - UN  UN declares support for restoration of democracy in Sudan   
Darfur has been engulfed in a deadly conflict since 2003 when ethnic minority groups took up arms against President Omar al-Bashir’s Arab-dominated government, which launched a brutal counter-insurgency.
At least 300,000 people have been killed and 2.5 million displaced in Darfur since then, the UN says.      
Bashir is wanted by the International Criminal Court on war crimes and genocide charges related to Darfur, which he denies.
Sudan insists that the conflict in Darfur has ended, and that it wants UN peacekeepers who have been deployed in the region the size of France since 2007 to leave.
AFP"
19th November 2016,Gunmen kidnap 12 people in Mexico,"Gunmen have kidnapped at least 12 people, including two children, in a southern Mexican region where gangs have perpetrated a series of mass abductions, authorities said Friday.
The van that was used to transport the group was found burnt on a road between the hamlets of San Jeronimo and San Cristobal, Guerrero state security spokesman Roberto Alvarez said, citing witnesses.
He spoke of around 30 armed people who abducted “a group of between 12 and 14 people.”
Some of the relatives of the missing have received phone calls from kidnappers demanding ransom money.
 
The abduction may have been perpetrated by a criminal group known as Los Tequileros, Alvarez said.
The mass kidnapping took place in a region known as Tierra Caliente, or Hot Land, where 21 men were kidnapped in January and found alive days later. That same month, four teachers who had been kidnapped elsewhere were rescued, while another was found dead.
Another 21 people were kidnapped and later rescued by police in a cave in the same region in early 2015, and 13 suspects were arrested.        Related News   US to host Mexico in new 'Clasico' game  Fans slam Falcons over poor performance in Mexico  Mexico’s ex-security minister convicted of drug trafficking   
“There has been a phenomenon in Tierra Caliente, which is a very poor, rural and isolated area, of mass kidnappings by members of organized crime who are doing business with this type of crime,” Alvarez said.
Police have detained kidnappers, “but this phenomenon continues to defy the authorities,” he said.
Such kidnappings show that gangs specializing in kidnappings are no longer targeting just wealthy victims in Mexico.
Officials at the state prosecutor’s office say Los Tequileros are hired guns of the Guerreros Unidos drug cartel, which controls much of the opium poppy production and heroin smuggling in the region.
The cartel is also accused of colluding with local police who abducted 43 students in the city of Iguala in September 2014, a case that has drawn international condemnation.
Federal officials have said that Iguala police handed the students over to the cartel, which killed them and incinerated their bodies, though new lines of investigation have been opened after independent experts questioned the credibility of the case.
AFP"
19th November 2016,Gunmen kidnap Nasarawa commissioner’s two wives,"Umar Muhammed, Lafia
 Gunmen on Thursday night kidnapped two wives of the Nasarawa State Commissioner for Local Government and Chieftaincy Affairs, Mr. Aliyu Ahmed.
The incident took place around 10pm in Nasarawa, the headquarters of the Nasarawa Local Government Area of the state.
It was learnt that the gun-wielding unidentified men, who came in a black Peugeot 406 car, were said to have overpowered the policemen attached to the area and invaded the residence of the commissioner, taking his two wives to an unknown destination.
 
Saturday PUNCH learnt that the gunmen were said to have asked for the whereabouts of Ahmed, but because he was not around, they abducted his wives.
A family member of the commissioner, who spoke on condition of anonymity, said, “They came to Nasarawa town in the night and started shooting sporadically into the air and scared all the residents in the area away. Before we knew what was going on, they went inside the house of the commissioner and kidnapped his two wives.”  Related News   Gunmen allegedly attack Delta PDP gov candidate’s convoy  Accept old naira notes, Gov Sule appeals to Nasarawa residents   UPDATED: Police investigating Rivers Assembly candidate's abduction - Spokesperson   
The state’s Commissioner of Police, Mr. Abubakar Bello, said the command was aware of the incident and that a rescue operation was ongoing to ensure the victims’ release.”      
 Asked whether the kidnappers had demanded ransom, he said, “I have dispatched a team to ensure their safe release.”
Copyright PUNCH.                
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH. 
Contact: [email protected]"
18th November 2016,Gunmen kidnap commissioner's wives in Nasarawa,"Gunmen on Thursday night abducted the two wives of Nasarawa State Commissioner for Local Government and Chieftaincy Affairs, Aliyu Tijani, from his residence in Nasarawa town.
Nasarawa State Commissioner of Police, Abubakar Sadiq-Bello, who confirmed the incident on Friday, said the police was on the trail of the kidnappers and would soon apprehend them.
He said, “We are aware of the abduction and as we speak now, we have gotten information about their location and we are closing in on them.”
When contacted on phone, Tijani said the family has not been contacted by the kidnappers.
 
 Related News   Gunmen allegedly attack Delta PDP gov candidate’s convoy  UPDATED: Police investigating Rivers Assembly candidate's abduction - Spokesperson  Gunmen kill 400-level UNIBEN student   
He said, “As I speak with you now, we do not know where my wives are being kept and no one has contacted us. We shall continue to pray for their freedom.”
Meanwhile, an eye witness who would not want to be mentioned said that the gunmen numbering about 10 stormed the house in Nasarawa town, at about 8p.m.
He said the gunmen shot sporadically into the air before whisking away the women in their vehicles.      
(NAN)"
12th November 2016,Methodist priest kidnapped in Ibadan,"Olufemi Atoyebi, Ibadan
A reverend of the Methodist Church Nigeria, Akobo-Ojurin, Diocese of Agodi, Ibadan, Dr. Biodun Ogunbekun, has been kidnapped by five gunmen who traced him to his farm at Kufi area along Olounda-Aba road, Ibadan.
The Diocesan Bishop of the cathedral, Rt. Rev. Amos Ajiboye, said in a press statement he issued on Friday that Ogunbekun was kidnapped around 7pm on Thursday as he was leaving his farm.
He said, “The whereabouts of the priest is still unknown. On behalf of the Prelate of the church, His Eminence, Dr. K. Uche, and the Archbishop of Ibadan, Most Rev. M.K. Stephen, I appeal to the Oyo State Governor Abiola Ajimobi, the state Commissioner of Police and other security agencies to please assist in finding the whereabouts of the minister of God and help release him unhurt.”
 
While narrating the account of the kidnap, Ajiboye said Ogunbekun was on his farm with two of his staff members at the time. He explained that when he was to leave the farm, a gunman forced his way in as the gate was opened. Four other gunmen also appeared and grabbed Ogunbekun before taking him into the bush.  Related News   Suspected cultists gang-rape Rivers pastor’s wife to death  11 years after Madalla bombing, priest bemoans insecurity  Two abducted clerics regain freedom in Plateau   
“We were told that the kidnapers did not come with any vehicle or motorcycle. They tried to take the priest away in his truck but they could not for some reason. They then decided to whisk him away on foot. We have alerted the police and they have visited the farm.”
Copyright PUNCH.                
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.       
Contact: [email protected]"
4th November 2016,Gunmen kidnapped  INEC administrative secretary in Ekiti,"Kamarudeen Ogundele, Ado Ekiti
Gunmen on Thursday kidnapped the Administrative Secretary of the Independent National Electoral Commission in Ekiti State, Muslim Omoleke.
It was gathered that Omoleke was kidnapped at Iwaraja, a town near Ilesa in Osun State, at about 4pm.
A source told our correspondent that he was abducted and driven away into the forest of along with his driver and his child.
 
“They later released his child and the driver along with the vehicle and took him away. We have not heard anything since then,” the source added.
When contacted, the spokesperson for INEC in Ekiti, Alhaji Taiwo Gbadegesin, confirmed the incident and said security agencies in Ondo, Osun and Ekiti states had been contacted on the incident.
He added that the abductors had not contacted the family and the commission.      
 Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH. 
Contact: [email protected]"
3rd November 2016,Ekiti INEC secretary kidnapped,"Kamarudeen Ogundele, Ado Ekiti
Gunmen on Thursday kidnapped the Administrative Secretary of the Independent National Electoral Commission in Ekiti State, Muslim Omoleke.
It was gathered that Omoleke was kidnapped at Iwaraja, a town near Ilesa in Osun State, at about 4pm.
A source told our correspondent that he was abducted and driven away into the forest of Ijesaland, along with his driver and his child.
 
 Related News   INEC begins sensitive materials distribution in Osun  INEC will prosecute electoral offenders with speed – Yakubu  INEC denies appointing ex-Lagos commissioner as ICT head   
“They later released his child and the driver along with the vehicle and took him away. We have not heard anything since then,” the source added.
When contacted, the spokesperson of INEC in Ekiti, Alhaji Taiwo Gbadegesin, confirmed the incident and said security agencies in Ondo, Osun and Ekiti states had been contacted.
Gbadegesin said Omoleke had gone on visits to Ondo and Osun States.      
He added that the abductors had not contacted the family and the commission."
1st November 2016,"We kidnapped our victim because he owes N100,000","Godwin Udoh, Asaba"
29th October 2016,"Kidnappers release victims, abduct those who came to drop ransom","Kunle Falayi
For members of a notorious kidnap gang operating in Port Harcourt, the Rivers State capital, nothing could go wrong, but Wednesday, October 12, 2016 was the day the long arm of the law caught up with them.
The nine members of the gang, who were apprehended by the operatives of the Inspector-General of Police Special Intelligence Response Team in a five-hour raid that day, said they were so efficient in their criminal operations that they once kidnapped four victims on the same day.
The afternoon raid led to the arrest of Daniel Gabriel (33), Alaso Igodo (25), Akeodi Aselemi (34), Ayibinmotei Livinus (25), Anikuroka Marshal (33), Biebele Elijah (34) Efiye Anda (34), Daniel Lessor (31) and Isaac Reuben (27), all living within the Port Harcourt metropolis.
 
The police said the gang was responsible for most of the kidnappings that took place within GRA Phase 2, Port Harcourt, Borokiri General Area and YKC axis of Woji in Rivers State.
Saturday PUNCH learnt that the string of events which led to the apprehension of the nine suspects started with the abduction of a woman identified as Mrs. Okotie, who was kidnapped few weeks ago opposite the Royal House of Grace Church in Port Harcourt.
The gang was said to have abducted her in the Mazda car they used as operational vehicle.      
The victim told the police that she had told the suspects that she was not feeling fine but they did not listen to her.
Fortunately for Mrs. Okotie, the car broke down along the way and the leader of the gang named Blackie, called for another vehicle, a Nissan Primera, which arrived shortly after.
“But they did not know that we had got information about them. They were on their way to the Ornage Waterside when we intercepted them. As soon as they saw us, they fled and abandoned the woman in the car along with one of their rifles,” the source said.
Few days after the botched kidnapping of Mrs. Okotie, IRT operatives who were following up on a lead, arrested Gabriel, a taxi driver, around 2.pm on October 12.
When Gabriel, an Akwa-Ibom indigene living at Navy Market Borikiri, Port-Harcourt was taken in for questioning, he confessed that he had personally been involved in 15 kidnaps in the last few months in the state.
 He then led the police to his house where five members of the gang were already planning another kidnap.
 “When we got to his house, we arrested five of his gang members and from there, we proceeded to Enugu Waterfront where we arrested Anikuroka Marshal, the gang’s armourer.   The suspects also identified Diobele Elijah and Akodi Aselemi as their spies who go around town scouting for victims.  They confessed to have three AK47 rifles, two pistols, which they use in their operations,” a police source said.        
Saturday PUNCH learnt that in one of the kidnaps carried out by the gang, on August 10, 2016, a pastor, Mrs. Luis Ubah and one Mr. Chika Ezenwa were abducted. The same day, the gang kidnapped a business woman, Mrs. Ubah in her store, they also grabbed another victim identified as Ezenwa who was with Ubah at the time.
The four victims were taken by the gang to the Indoki Estate Waterfront.
The source explained that while on their way to the waterfront, the gang encountered a police team and instantly opened fire on the policemen.
“Inspector David Ijosi and one Corporal Dike Ledee were injured by bullets in the attack. One was hit in the leg while another was hit in the neck and the kidnappers escaped into the Isaka creeks in Okrika,” the source said.
Soon after, the gang made contact with Ubah’s husband, Bishop Prince Ubah, from whom they demanded a N50m ransom for her freedom.
During the ensuing negotiation, the ransom for the release of the bishop’s wife was reduced to N2.8m and a place was agreed on for the family to drop the ransom.
But in a dramatic turn of events, when two brothers of the bishop, Onyeka Ani and Pastor Okezie Akara, took the money to the agreed place on August 25, 2016, 15 days after Mrs. Ubah was kidnapped, the gang members decided to release her along with Ezenwa but kidnapped the two brothers instead.      
 The police said they then demanded another N1m ransom from the bishop for his brothers. But N750, 000 was eventually paid for their release.
Police investigation also showed that in August 2016, the gang kidnapped one Nkechi at YKC Junction in Woji Town, Port Harcourt, and she was transported to the Woji Waterfront where they ferried her by speedboat to Kula community in Akukotoru Local Government Area of Rivers State.  Related News   Kidnapped Ogun journalist rescued in Lagos after gun battle  Police foil kidnap attempt, kill two in Bauchi  Gunmen kidnap Taraba monarch’s wives, son   
 The woman was reportedly kept in captivity for two weeks and was released after a ransom of N2m was paid by her family.
In September, a victim identified as Coachie, who was abducted around Number One Stadium, Port Harcourt, was released after a ransom of N2.5m was paid.
In his statement, Gabriel explained that he came to Port Harcourt in 2015 and worked as a taxi driver but when things became difficult for him, he moved his family back home and joined his first kidnapping gang.
He said, “I met the members of the gang in March 2016. I was plying the Aba Road looking for passengers one day when they stopped me and entered my taxi.  They asked me to take them to Borikiri in Port Harcourt.
“When we got there, I was surprised that they paid me more than I demanded and I told them that I wanted to know more about them.   The leader who sat in front passenger seat then gave me his phone number and said he would like me to work with them.  
“Few days later, they invited me to a hotel in Borikiri and told me what they did. In April, Blackie, the gang leader, called and asked that I should meet him in his hotel. When I got there, I met other members of the gang preparing for an operation. They showed me two bags containing guns and put it in my car. I then drove them to GRA in Port Harcourt.
“When we got there, the gang’s informant said we had missed the target, a woman, who had just left the place. While leaving, we saw a man driving a nice car and we kidnapped him. He was taken to the Indoki Estate Waterfront. We put him in a speed boat and took him to a camp across the river.”
Gabriel said they carried out many kidnappings and that in August 2016, when they kidnapped Mrs. Okotie, it was like God just wanted them to be caught.
According to him, he had no idea what happened to his car, which he converted from a taxi cab to the gang’s operational vehicle.
“When we were intercepted by the police that day, we left one gun in the car while escaping while Blackie escaped with one other rifle. He gave it to one of our boys, who normally kept our rifles. But after I was arrested, I took the police to the boy and they recovered the rifle and my cab,” he said.
However, in his confessional statement, Anda, a speed boat operator, said he got N200,000  each time he ferried the kidnappers and their victims to their camps across the river in his speed boat.
The suspect, a Bayelsa State indigene, said he was involved in pipeline vandalism and oil theft before the military destroyed the camps in which they “cook” the oil, referring to the numerous makeshift oil refineries that dot creeks where oil militants operate in the country.      
“When I became jobless, my friends invited me to Port Harcourt to join the kidnapping business. I became their boat operator. Apart from the transport duty, I was also in charge of buying food for the gang members and the victims. I bought a speed boat with the money I have made so far,” Anda said.
Marshal (the gang’s armourer) on the other hand, said he was paid N40,000 per each operation.
The suspect, who is an indigene of Opobo-Nkoro Local Government Area of Rivers State, said he usually kept the guns in an abandoned bus parked inside the Baptist Church field in Borokiri.
“I did not usually go out with them for the operations. My job is to keep the guns,” he said.
Another suspect, Elijah, a native of Okrika in Rivers State, said he was lured to the gang by his boss, whom he identified as Elvis.
According to him, his role was to assist Elvis to monitor the movement of their targets.
 “There was a time I followed Elvis three times to spy on a woman we wanted to kidnap. We could not carry out the operation because our leader, Blackie did not come on time. I was also with him in GRA where we kidnapped the woman who was rescued by the police. Elvis had only been giving me little money since I started working with him. But he loved to buy me a lot of drinks,” he said.        
The police said investigation on the scale of the operations of the gang was still on and that they were making efforts to arrest other members of the gang who are now underground.
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH. 
Contact: [email protected]"
15th October 2016,American NGO worker kidnapped in Niger,"An American NGO worker was kidnapped Friday night in the Niger town of Abalak, northeast of the capital Niamey, before being taken by his abductors to Mali, a security source told AFP.
“It is too early to determine the identity of the kidnappers, who have returned to Mali. The authorities have put the region on maximum alert”, the source said, asking not to be named.
Niger’s long, porous borders make it occasionally vulnerable to the armed violence that has rocked neighbouring states including Mali in recent years.
Northern Mali, which fell under the control of Al-Qaeda-linked jihadi groups in 2012 before a French-led military intervention pushed them out, remains subject to attacks by jihadists.
 
“At least two people were killed during an exchange of gunfire” as the hostage was being taken, the source said, without revealing the identity of the victims.
“All roads to Mali are being monitored,” the source added.
It is the first time that a US national has been kidnapped in Niger. A US State Department spokesperson told AFP said they were aware of reports of the kidnapping of an American citizen but declined to comment further.      
In January 2011, two young French people were kidnapped from a restaurant in Niamey and were killed shortly afterwards during a rescue attempt.  Related News   UPDATED: Police investigating Rivers Assembly candidate's abduction - Spokesperson  Niger ex-PDP gov candidate defects to APC  Niger terrorists abduct 53, kill pregnant woman, four villagers   
The previous year, five employees of the French energy firm Areva were kidnapped by Al-Qaeda in the Islamic Magreb (AQIM) from a uranium mine in Arlit, north of the country. Four men were freed in 2013 after the earlier release of the sole female hostage.
Earlier this month, 22 soldiers from Niger were killed during an attack by armed men who came from Mali to target a refugee camp in the Tahoua region, northeast of Niamey.
Three soldiers were also injured, according to Niger’s army, which has been deployed along the country’s longer border with Mali to prevent armed groups getting in.
Niamey is also calling for a diplomatic solution to the conflict in Mali.
Despite a peace accord and a 2013 international military intervention, large tracts of Mali are still not controlled by domestic or foreign troops and remain subject to attacks by jihadists.
“To resolve the security problem in Mali is also to resolve the security problem in Niger”, Niger’s president Mahamadou Issoufou said during a meeting with German Chancellor Angela Merkel this week.        
Niger also faces constant attacks in the southeast of the country from Nigerian jihadist group Boko Haram.
AFP"
8th October 2016,"Kidnappers abduct farm owners, kill managers after N22m ransom","Kunle Falayi
On July 17, 2016, 15 men stormed two poultry farms located at Egan, Itoki area of Ikorodu, Lagos. They went with three AK47 and rifles, one pump-action rifle, nine magazines and 270 rounds of live ammunition.
As soon as the men, who arrived the area in three boats got to the farms, they grabbed the owners, – Alhaji Oyebanji Wasiu and Alhaji Isiaka Owolabi along with the manager of the two farms, 43-year-old Abiodun Adeniyi.
But this was no ordinary kidnap for ransom.
 
When three suspects in the case, who are now in police custody, narrated the event that led to the kidnapping, it became clear that there was a deep-seated vengeance involved.
The kidnappers’ inside man, 24-year-old Idowu Dauwujoh, who is also one of the suspects in custody, told our correspondent that when he got a job as a worker on the farms, he was employed along with three other friends, Kekeminiwei, Afro and Odesebra, all Ijaw young men.
Dauwujoh, who is also an Ijaw man, said few months after they were employed, Kekeminiwei, Afro and Odesebra were sacked.      
He said, “The allegations were that they were stealing from the farms. Then, Afro was dating a lady who also worked on the farms. It became an issue between him and the manager of the farms (Adeniyi) and the man told him to leave.
“I was the only one remaining in the farms, but I was always in touch with the other boys. One day, they called me and said anytime the owners of the farms were around, I should let them know. They told me they were planning to kidnap them and that I should act as if I knew nothing.”
Few days before July 17, 2016, Dauwujoh, called his friends to inform them that his bosses would be around in a few days.
As soon as the owners (Wasiu and Owolabi) arrived their farms on Wednesday, July 17, Dauwujoh gave his friends the signal and they moved in.
Dauwujoh said when they kidnapped his bosses including the manager, he had no idea where they were taking them to. But he fled the farms to Delta State.
One of the suspects in custody, 26-year-old Priye Idoro, said he took part in the kidnapping and was actually the cook in the camp where they kept their victims.
Idoro said, “Before that day, I was not a kidnapper. All I was doing was bursting pipelines to steal crude oil at Igbo Olomu (a suburb of Ikorodu, Lagos, where militants sacked the entire community recently).        
“One day, one of my bosses, who employed me as a pipeline vandal, informed me of the kidnap plan and I willingly went along.
“We arrived at the area before the kidnapping day and stayed in the forest for three days. As soon as we got the signal, we moved in and took the men.”
Saturday PUNCH learnt that the victims were taken deep into the creek where they were instructed to contact their families.
Their families later put together the sum of N22m as ransom which they dropped in a particular location as instructed by the kidnappers.
Idoro said, “The first day we brought the men to the creek, I was told to go and buy foodstuff by nightfall. I bought fish, soup ingredients and garri.
“I was feeding them eba most of the time. Cooking was all I was doing, my bosses were the ones doing the negotiation. When the ransom was paid, they told me it was N20m. They brought the money in a carton and two ‘Ghana-Must-Go’ bags.
“They gave me N500,000. I treated the men well. Before they released them, they were even praying for me that I would do something great with the money I got.      
“One evening, I went to buy food and when I got back, they had released them. I asked about the manager too and one of the men said he had killed him because he was the one who sent him away from the farm, where he was working before. They did not tell me what they did with his body.”
The group dispersed and Idoro travelled to Sapele, Delta State, where he bought a boat with his own share. He said he wanted to use the boat for water transport.
He would later be arrested at Sapele.
The police tracked down Idoro and the other two suspects, after the murdered manager’s phone was tracked by the police and located at Delta State.
One of the kidnappers had given the phone as a gift to his brother, 27-year-old Daniel Jekene, who quickly helped in getting the other two arrested after the police nabbed him.
When Dauwujoh was arrested, it was learnt that the gang had given his N2.5m share to his elder brother to give to him. But the elder brother absconded with the money.
The Lagos State Commissioner of Police, Mr. Fatai Owoseni, said investigation was still ongoing to arrest other members of the gang.  
He said the suspects would be charged to court as soon as investigations were complete.
Copyright PUNCH.        
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH. 
Contact: [email protected]"
